ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes
403,Protolabs,Manufacturing (SMB),Rapid Manufacturing,Maple Plain,MN,2800,$500M-$1B,Predictive maintenance AI,$15K-$30K,Chief Technology Officer,www.protolabs.com,4,Digital manufacturing leader
404,Xometry,Manufacturing (SMB),On-Demand Mfg,North Bethesda,MD,1000,$500M-$1B,Estimating AI,$15K-$30K,CTO,www.xometry.com,4,AI-powered marketplace; NYSE
405,Jabil,Manufacturing (SMB),Contract Manufacturing,St. Petersburg,FL,260000,$10B+,Quality control AI,$30K-$50K,Chief Digital Officer,www.jabil.com,5,Global contract manufacturer
406,Flex Ltd,Manufacturing (SMB),Contract Manufacturing,San Jose,CA,170000,$10B+,Supply chain AI,$30K-$50K,VP of Digital,www.flex.com,5,Global electronics manufacturer
407,Plexus Corp,Manufacturing (SMB),Contract Manufacturing,Neenah,WI,20000,$1B+,Predictive maintenance AI,$25K-$50K,CTO,www.plexus.com,4,Complex product manufacturing
408,CUI Global,Manufacturing (SMB),Power/Electro Mfg,Tualatin,OR,200,$25M-$50M,Quality control AI,$8K-$15K,VP of Engineering,www.cuiglobal.com,3,Power supply manufacturer
409,Marlin Steel,Manufacturing (SMB),Custom Metal,Baltimore,MD,50,$10M-$25M,Production scheduling AI,$5K-$15K,President,www.marlinwire.com,3,Custom metal forming
410,Superior Industries,Manufacturing (SMB),Aluminum Wheels,Southfield,MI,7000,$1B+,Quality inspection AI,$20K-$40K,Chief Technology Officer,www.supind.com,4,NYSE listed; auto supplier
411,Watts Water Technologies,Manufacturing (SMB),Water Products,North Andover,MA,4000,$1B+,Predictive maintenance AI,$20K-$35K,VP of Innovation,www.watts.com,4,NYSE listed; water management
412,Chart Industries,Manufacturing (SMB),Industrial Equipment,Ball Ground,GA,11000,$1B+,Supply chain AI,$20K-$40K,CTO,www.chartindustries.com,4,NYSE listed; energy equipment
413,Thermon Group,Manufacturing (SMB),Process Heating,Austin,TX,3000,$500M-$1B,Predictive maintenance AI,$15K-$25K,Director of Technology,www.thermon.com,3,Industrial process heating
414,EnPro Industries,Manufacturing (SMB),Seals/Coatings,Charlotte,NC,4000,$1B+,Quality control AI,$15K-$30K,VP of Innovation,www.enproindustries.com,4,NYSE listed; engineered products
415,Mueller Water Products,Manufacturing (SMB),Water Infrastructure,Atlanta,GA,3500,$1B+,Predictive maintenance AI,$15K-$30K,Chief Technology Officer,www.muellerwaterproducts.com,4,NYSE listed; water infrastructure
416,Roper Technologies,Manufacturing (SMB),Diversified Industrial,Sarasota,FL,16000,$5B+,Quality analytics AI,$25K-$50K,CTO,www.ropertech.com,5,S&P 500 industrial
417,Nordson Corporation,Manufacturing (SMB),Precision Dispensing,Westlake,OH,7500,$1B+,Production optimization AI,$20K-$35K,VP of Digital,www.nordson.com,4,NYSE listed; precision tech
418,Haynes International,Manufacturing (SMB),Alloys,Kokomo,IN,2000,$500M-$1B,Quality control AI,$15K-$25K,Director of IT,www.haynesintl.com,3,High-performance alloys
419,NN Inc,Manufacturing (SMB),Precision Components,Charlotte,NC,3500,$500M-$1B,Predictive maintenance AI,$15K-$25K,VP of Technology,www.nninc.com,3,Precision manufacturing
420,Core Molding Technologies,Manufacturing (SMB),Composites,Columbus,OH,1500,$200M-$500M,Quality inspection AI,$10K-$20K,Director of Innovation,www.coremt.com,3,Composite manufacturing
421,MW Industries,Manufacturing (SMB),Springs/Fasteners,Rosemont,IL,3000,$500M-$1B,Supply chain AI,$10K-$25K,VP of Operations,www.mw-ind.com,3,Precision components
422,Jason Industries,Manufacturing (SMB),Industrial Components,Milwaukee,WI,2000,$200M-$500M,Production scheduling AI,$10K-$20K,Director of IT,www.jasoninc.com,3,Diversified industrial
423,Chase Industries,Manufacturing (SMB),Safety Products,Montville,OH,200,$25M-$50M,Quality control AI,$5K-$15K,VP of Operations,www.chaseindustries.com,2,Industrial safety products
424,Allied Products Corp,Manufacturing (SMB),Industrial Equipment,Chicago,IL,500,$50M-$100M,Predictive maintenance AI,$8K-$20K,Director of Technology,www.alliedproducts.com,3,Material handling equipment
425,Taylor Made Group,Manufacturing (SMB),Marine/Auto Glass,Gloversville,NY,500,$50M-$100M,Quality inspection AI,$8K-$15K,VP of Engineering,www.taylormadewindshields.com,3,Marine products manufacturer
426,Omega Protein,Manufacturing (SMB),Animal Nutrition,Houston,TX,800,$200M-$500M,Supply chain AI,$10K-$20K,Director of IT,www.omegaprotein.com,3,Fish oil/nutrition products
427,Continental Building Products,Manufacturing (SMB),Building Materials,Herndon,VA,800,$200M-$500M,Production optimization AI,$10K-$20K,VP of Technology,www.continental-bp.com,3,Wallboard manufacturer
428,Boise Cascade,Manufacturing (SMB),Wood Products,Boise,ID,7000,$5B+,Supply chain AI,$20K-$40K,CTO,www.bc.com,4,NYSE listed; building products
429,GrafTech International,Manufacturing (SMB),Graphite Electrodes,Independence,OH,1500,$500M-$1B,Quality control AI,$10K-$25K,Director of Innovation,www.graftech.com,3,NYSE listed; graphite products
430,Insteel Industries,Manufacturing (SMB),Steel Wire,Mount Airy,NC,1000,$500M-$1B,Predictive maintenance AI,$10K-$20K,VP of Technology,www.insteel.com,3,NYSE listed; steel wire
431,American Axle,Manufacturing (SMB),Auto Components,Detroit,MI,20000,$5B+,Quality analytics AI,$25K-$50K,Chief Technology Officer,www.aam.com,5,NYSE listed; driveline components
432,Modine Manufacturing,Manufacturing (SMB),Thermal Mgmt,Racine,WI,11000,$1B+,Predictive maintenance AI,$15K-$30K,VP of Innovation,www.modine.com,4,NYSE listed; thermal management
433,Clearwater Paper,Manufacturing (SMB),Paper Products,Spokane,WA,2000,$1B+,Production scheduling AI,$10K-$25K,Director of IT,www.clearwaterpaper.com,3,NYSE listed; consumer tissue
434,Olympic Steel,Manufacturing (SMB),Metal Service,Cleveland,OH,3000,$1B+,Supply chain AI,$10K-$25K,VP of Technology,www.olysteel.com,3,NASDAQ; steel distribution
435,Kadant Inc,Manufacturing (SMB),Industrial Process,Westford,MA,3000,$500M-$1B,Predictive maintenance AI,$10K-$25K,CTO,www.kadant.com,3,NYSE listed; process equipment
436,Luxfer Holdings,Manufacturing (SMB),Gas Cylinders,Riverside,CA,1500,$200M-$500M,Quality control AI,$8K-$20K,Director of Innovation,www.luxfer.com,3,NYSE listed; specialty materials
437,Franklin Electric,Manufacturing (SMB),Pumping Systems,Fort Wayne,IN,5000,$1B+,Predictive maintenance AI,$15K-$25K,VP of Technology,www.franklin-electric.com,4,NASDAQ; water/fuel systems
438,Lindsay Corporation,Manufacturing (SMB),Agriculture/Infra,Omaha,NE,1500,$500M-$1B,Smart agriculture AI,$10K-$25K,Director of Innovation,www.lindsay.com,3,NYSE listed; irrigation
439,Watts Water Technologies,Manufacturing (SMB),Plumbing/Flow,North Andover,MA,4000,$1B+,Quality analytics AI,$15K-$30K,Chief Technology Officer,www.watts.com,4,NYSE; water management products
440,Haynes Wire Company,Manufacturing (SMB),Wire Products,Mountain Home,NC,100,$10M-$25M,Production optimization AI,$5K-$12K,VP of Operations,www.hayneswire.com,2,Specialty wire manufacturer
441,C.H. Robinson,Logistics / Freight / 3PL,Freight Brokerage,Eden Prairie,MN,15000,$10B+,Route optimization AI,$30K-$50K,Chief Technology Officer,www.chrobinson.com,5,Navisphere platform; largest broker
442,XPO Logistics,Logistics / Freight / 3PL,3PL,Greenwich,CT,38000,$5B+,Shipment tracking AI,$25K-$50K,CTO,www.xpo.com,5,Last-mile + LTL leader
443,J.B. Hunt,Logistics / Freight / 3PL,Intermodal/3PL,Lowell,AR,35000,$10B+,Load matching AI,$25K-$50K,Chief Digital Officer,www.jbhunt.com,5,J.B. Hunt 360 platform
444,Echo Global Logistics,Logistics / Freight / 3PL,Freight Brokerage,Chicago,IL,3000,$1B+,Route optimization AI,$15K-$30K,VP of Technology,www.echo.com,4,Multi-modal brokerage
445,TQL (Total Quality Logistics),Logistics / Freight / 3PL,Freight Brokerage,Cincinnati,OH,8000,$5B+,Load matching AI,$20K-$40K,CTO,www.tql.com,5,Largest privately held broker
446,Worldwide Express (WWEX),Logistics / Freight / 3PL,Freight Brokerage,Dallas,TX,4000,$1B+,Shipment tracking AI,$15K-$30K,Chief Technology Officer,www.wwex.com,4,92K+ SMB customers
447,Expeditors International,Logistics / Freight / 3PL,Freight Forwarding,Seattle,WA,18000,$5B+,Demand forecasting AI,$25K-$50K,VP of Innovation,www.expeditors.com,5,Non-asset-based; global reach
448,DHL Supply Chain NA,Logistics / Freight / 3PL,3PL,Westerville,OH,50000,$10B+,Warehouse automation AI,$30K-$50K,CTO,www.dhl.com,5,Gartner Leader 10 yrs running
449,UPS Supply Chain Solutions,Logistics / Freight / 3PL,3PL,Atlanta,GA,500000,$50B+,Route optimization AI,$40K-$50K,Chief Digital Officer,www.ups.com/supplychain,5,End-to-end solutions
450,FedEx Logistics,Logistics / Freight / 3PL,3PL,Memphis,TN,500000,$50B+,Shipment prediction AI,$40K-$50K,VP of Innovation,www.fedex.com/logistics,5,Global logistics platform
451,Ryder System,Logistics / Freight / 3PL,3PL/Fleet,Miami,FL,36000,$5B+,Fleet analytics AI,$25K-$50K,Chief Technology Officer,www.ryder.com,5,NYSE; fleet management + 3PL
452,Kenco Group,Logistics / Freight / 3PL,3PL,Chattanooga,TN,5000,$500M-$1B,Warehouse automation AI,$15K-$30K,CTO,www.kencogroup.com,4,75+ years; employee-owned
453,NFI Industries,Logistics / Freight / 3PL,3PL,Camden,NJ,15000,$1B+,Route optimization AI,$20K-$40K,VP of Technology,www.nfiindustries.com,4,Family-owned since 1932
454,Saddle Creek Logistics,Logistics / Freight / 3PL,3PL,Lakeland,FL,3000,$500M-$1B,Demand forecasting AI,$10K-$25K,Director of Innovation,www.sclogistics.com,3,Omnichannel fulfillment
455,Werner Enterprises,Logistics / Freight / 3PL,Trucking/3PL,Omaha,NE,13000,$1B+,Route optimization AI,$15K-$30K,Chief Technology Officer,www.werner.com,4,NASDAQ listed; full truckload
456,Schneider National,Logistics / Freight / 3PL,Trucking/3PL,Green Bay,WI,15000,$5B+,Load matching AI,$20K-$40K,CTO,www.schneider.com,5,NYSE listed; intermodal leader
457,Coyote Logistics,Logistics / Freight / 3PL,Freight Brokerage,Chicago,IL,3000,$1B+,Carrier matching AI,$15K-$25K,VP of Technology,www.coyote.com,4,UPS subsidiary
458,GlobalTranz,Logistics / Freight / 3PL,Freight Brokerage,Scottsdale,AZ,2000,$1B+,Shipment tracking AI,$10K-$25K,CTO,www.globaltranz.com,3,Tech-enabled brokerage
459,Transplace (Uber Freight),Logistics / Freight / 3PL,Managed Transportation,Frisco,TX,3000,$1B+,Route optimization AI,$15K-$30K,Chief Technology Officer,www.uberfreight.com,4,Now part of Uber Freight
460,ShipBob,Logistics / Freight / 3PL,eComm Fulfillment,Chicago,IL,1500,$200M-$500M,Inventory forecasting AI,$10K-$25K,CTO,www.shipbob.com,4,DTC fulfillment leader
461,Flexport,Logistics / Freight / 3PL,Digital Freight,San Francisco,CA,3000,$500M-$1B,Supply chain AI,$15K-$30K,Chief Technology Officer,www.flexport.com,4,AI-first freight forwarder
462,Arrive Logistics,Logistics / Freight / 3PL,Freight Brokerage,Austin,TX,1500,$1B+,Carrier matching AI,$10K-$25K,VP of Technology,www.arrivelogistics.com,3,Fast-growing brokerage
463,Redwood Logistics,Logistics / Freight / 3PL,Managed Freight,Chicago,IL,800,$200M-$500M,Integration AI,$8K-$20K,CTO,www.redwoodlogistics.com,3,Platform-based 3PL
464,BNSF Logistics,Logistics / Freight / 3PL,Rail/Intermodal,Springdale,AR,2000,$500M-$1B,Shipment tracking AI,$15K-$25K,VP of Technology,www.bnsflogistics.com,3,BNSF Railway subsidiary
465,Penske Logistics,Logistics / Freight / 3PL,3PL,Reading,PA,37000,$5B+,Fleet analytics AI,$25K-$50K,Chief Technology Officer,www.penskelogistics.com,5,Full-service logistics
466,GXO Logistics,Logistics / Freight / 3PL,Contract Logistics,Greenwich,CT,120000,$5B+,Warehouse robotics AI,$30K-$50K,CTO,www.gxo.com,5,Largest pure-play contract logistics
467,R+L Carriers,Logistics / Freight / 3PL,LTL,Wilmington,OH,15000,$1B+,Route optimization AI,$15K-$30K,VP of Technology,www.rlcarriers.com,4,National LTL carrier
468,SEKO Logistics,Logistics / Freight / 3PL,Omnichannel,Itasca,IL,2000,$500M-$1B,Demand forecasting AI,$10K-$25K,Director of Innovation,www.sekologistics.com,3,Global omnichannel logistics
469,Radial (bpost),Logistics / Freight / 3PL,eComm Fulfillment,King of Prussia,PA,5000,$500M-$1B,Order processing AI,$10K-$25K,CTO,www.radial.com,3,eCommerce fulfillment
470,Port Logistics Group,Logistics / Freight / 3PL,Last-Mile,Kearny,NJ,1500,$200M-$500M,Route optimization AI,$8K-$20K,Director of Technology,www.portlogisticsgroup.com,3,Last-mile delivery
471,OHL (Geodis),Logistics / Freight / 3PL,3PL,Brentwood,TN,3000,$500M-$1B,Warehouse automation AI,$10K-$25K,VP of Technology,www.geodis.com,3,Now Geodis Americas
472,Pilot Freight Services,Logistics / Freight / 3PL,Last-Mile,Lima,PA,2000,$500M-$1B,Delivery scheduling AI,$10K-$20K,CTO,www.pilotdelivers.com,3,White-glove last-mile
473,ShipStation,Logistics / Freight / 3PL,Shipping Software,Austin,TX,500,$100M-$200M,Order processing AI,$8K-$20K,Chief Technology Officer,www.shipstation.com,3,Auctane subsidiary
474,Convoy,Logistics / Freight / 3PL,Digital Freight,Seattle,WA,300,$100M-$200M,AI carrier matching,$8K-$20K,CTO,www.convoy.com,3,AI-first freight platform
475,FreightPOP,Logistics / Freight / 3PL,TMS Software,Manhattan Beach,CA,100,$10M-$25M,Shipping optimization AI,$5K-$15K,Director of Product,www.freightpop.com,2,Multi-carrier TMS
476,Loadsmart,Logistics / Freight / 3PL,Digital Freight,New York,NY,300,$50M-$100M,AI pricing engine,$8K-$15K,CTO,www.loadsmart.com,3,AI-powered freight
477,project44,Logistics / Freight / 3PL,Visibility Platform,Chicago,IL,1000,$100M-$200M,Shipment tracking AI,$10K-$25K,Chief Technology Officer,www.project44.com,4,Supply chain visibility
478,FourKites,Logistics / Freight / 3PL,Visibility Platform,Chicago,IL,700,$100M-$200M,Predictive tracking AI,$10K-$25K,CTO,www.fourkites.com,4,Real-time visibility
479,Descartes Systems,Logistics / Freight / 3PL,Logistics Tech,Waterloo,ON,2000,$500M-$1B,Route optimization AI,$15K-$25K,Chief Technology Officer,www.descartes.com,4,NASDAQ listed; logistics tech
480,MercuryGate,Logistics / Freight / 3PL,TMS,Cary,NC,400,$50M-$100M,Load optimization AI,$8K-$20K,CTO,www.mercurygate.com,3,TMS platform
481,Chipotle Mexican Grill,Restaurants / Food Service Chains,Fast Casual,Newport Beach,CA,110000,$10B+,Inventory AI,$30K-$50K,Chief Technology Officer,www.chipotle.com,5,3500+ locations; 315 new in 2025
482,Daves Hot Chicken,Restaurants / Food Service Chains,Fast Casual,Pasadena,CA,5000,$200M-$500M,Staff scheduling AI,$10K-$25K,VP of Technology,www.daveshotchicken.com,4,260 locations; 80 new in 2025
483,Cava Group,Restaurants / Food Service Chains,Fast Casual,Washington,DC,6000,$500M-$1B,Customer feedback AI,$15K-$30K,CTO,www.cava.com,4,Mediterranean chain; NYSE listed
484,Wingstop,Restaurants / Food Service Chains,Fast Casual,Dallas,TX,3000,$200M-$500M,Inventory management AI,$10K-$25K,Chief Digital Officer,www.wingstop.com,4,2560+ stores; 30% growth
485,Raising Canes,Restaurants / Food Service Chains,Fast Casual,Baton Rouge,LA,50000,$5B+,Staff scheduling AI,$25K-$50K,VP of Technology,www.raisingcanes.com,5,900 locations; 100+ new in 2025
486,Sweetgreen,Restaurants / Food Service Chains,Fast Casual,Los Angeles,CA,4500,$500M-$1B,Inventory AI,$15K-$30K,Chief Technology Officer,www.sweetgreen.com,4,Infinite Kitchen automation
487,First Watch,Restaurants / Food Service Chains,Breakfast/Brunch,Bradenton,FL,10000,$500M-$1B,Customer feedback AI,$10K-$25K,VP of Digital,www.firstwatch.com,4,500+ restaurants; 20% growth
488,Bonchon,Restaurants / Food Service Chains,Korean Fried Chicken,New York,NY,2000,$100M-$200M,Inventory management AI,$8K-$20K,Director of Technology,www.bonchon.com,3,150 US locations; expanding to 500
489,Port of Subs,Restaurants / Food Service Chains,Sandwich Chain,Reno,NV,1500,$50M-$100M,Staff scheduling AI,$5K-$15K,VP of Operations,www.portofsubs.com,3,450 new locations in development
490,Shake Shack,Restaurants / Food Service Chains,Fast Casual,New York,NY,9000,$1B+,Customer engagement AI,$15K-$30K,Chief Technology Officer,www.shakeshack.com,4,500+ locations; NYSE listed
491,Panera Bread,Restaurants / Food Service Chains,Fast Casual,St. Louis,MO,70000,$5B+,Drive-thru AI,$25K-$50K,CTO,www.panerabread.com,5,2100+ locations
492,Five Guys,Restaurants / Food Service Chains,Fast Casual,Lorton,VA,25000,$1B+,Inventory management AI,$15K-$30K,VP of Technology,www.fiveguys.com,4,1800+ locations
493,MOD Pizza,Restaurants / Food Service Chains,Fast Casual,Bellevue,WA,10000,$500M-$1B,Staff scheduling AI,$10K-$25K,Director of Technology,www.modpizza.com,3,500+ locations
494,Noodles & Company,Restaurants / Food Service Chains,Fast Casual,Broomfield,CO,9000,$500M-$1B,Customer feedback AI,$10K-$20K,CTO,www.noodles.com,3,450+ locations; NASDAQ
495,Portillos,Restaurants / Food Service Chains,Fast Casual,Oak Brook,IL,8000,$500M-$1B,Inventory AI,$10K-$25K,VP of Digital,www.portillos.com,4,80+ locations; expanding
496,Zaxbys,Restaurants / Food Service Chains,Fast Casual,Athens,GA,20000,$1B+,Staff scheduling AI,$15K-$30K,Chief Technology Officer,www.zaxbys.com,4,900+ locations
497,Wawa,Restaurants / Food Service Chains,Convenience/QSR,Wawa,PA,35000,$10B+,Inventory management AI,$25K-$50K,CTO,www.wawa.com,5,1000+ locations
498,Sheetz,Restaurants / Food Service Chains,Convenience/QSR,Altoona,PA,23000,$5B+,Customer feedback AI,$20K-$40K,VP of Technology,www.sheetz.com,5,700+ locations
499,Dutch Bros,Restaurants / Food Service Chains,Coffee/Drive-Thru,Grants Pass,OR,15000,$1B+,Drive-thru AI,$15K-$30K,Chief Technology Officer,www.dutchbros.com,4,900+ locations; NYSE
500,Chicken Salad Chick,Restaurants / Food Service Chains,Fast Casual,Auburn,AL,5000,$200M-$500M,Staff scheduling AI,$8K-$20K,VP of Operations,www.chickensaladchick.com,3,250+ locations
501,Salata,Restaurants / Food Service Chains,Fast Casual,Houston,TX,2000,$50M-$100M,Inventory AI,$5K-$15K,Director of Technology,www.salata.com,2,100+ locations
502,The Halal Guys,Restaurants / Food Service Chains,Fast Casual,New York,NY,1000,$50M-$100M,Customer engagement AI,$5K-$15K,VP of Operations,www.thehalalguys.com,3,100+ locations
503,CAVA Group,Restaurants / Food Service Chains,Mediterranean,Washington,DC,6000,$500M-$1B,Menu optimization AI,$15K-$30K,CTO,www.cava.com,4,350+ locations
504,Mendocino Farms,Restaurants / Food Service Chains,Fast Casual,Los Angeles,CA,2500,$100M-$200M,Inventory management AI,$8K-$20K,Director of Technology,www.mendocinofarms.com,3,60+ locations; California focused
505,Blaze Pizza,Restaurants / Food Service Chains,Fast Casual,Pasadena,CA,5000,$200M-$500M,Staff scheduling AI,$8K-$20K,VP of Technology,www.blazepizza.com,3,300+ locations
